mean_us,p50_us,p95_us,p99_us,throughput_eps,mean_candidates,divergences,seed,mode,P,engine,n
9.7360376,7.901,15.701,38.304000000000045,102711.18920083053,1.7257,0,2026081424,selective,50,incremental,10000
11.335184300000002,9.8,18.105999999999927,39.20300000000002,88220.88583067854,50.0,0,2026081425,selective,50,reference,10000
8.2024256,7.4,11.401,32.50200000000002,121915.15641421972,1.7257,0,2026081425,selective,50,indexed,10000
8.5713532,7.801,11.5,32.80399000000004,116667.6925645766,1.7257,0,2026081425,selective,50,incremental,10000
11.365929399999999,9.801,19.401,39.102,87982.24630886763,50.0,0,2026081426,selective,50,reference,10000
8.1561095,7.401,11.60005,29.904000000000046,122607.47602763303,1.7257,0,2026081426,selective,50,indexed,10000
8.527218800000002,7.7,12.505949999999928,33.302010000000024,117271.53054874114,1.7257,0,2026081426,selective,50,incremental,10000
11.4977721,9.9,17.901,37.102,86973.37112813359,50.0,0,2026081427,selective,50,reference,10000
8.367224799999999,7.501,12.501,30.902990000000024,119513.93967567361,1.7257,0,2026081427,selective,50,indexed,10000
9.0820662,7.801,13.2,32.60201000000002,110107.10316117274,1.7257,0,2026081427,selective,50,incremental,10000
10.8785307,9.9,15.901,37.80399000000002,91924.17869446284,50.0,0,2026081428,selective,50,reference,10000
11.082541899999999,7.8,23.501,48.80301000000002,90232.00715352135,1.7257,0,2026081428,selective,50,indexed,10000
13.9659006,9.7,23.101049999999997,68.21100000000014,71602.97274348351,1.7257,0,2026081428,selective,50,incremental,10000
11.0812765,9.801,17.901,38.30399000000002,90242.31098285473,50.0,0,2026081429,selective,50,reference,10000
8.709580099999998,7.5,12.501,33.602,114816.09773587136,1.7257,0,2026081429,selective,50,indexed,10000
8.879692000000002,7.801,14.001,35.905000000000065,112616.51868105332,1.7257,0,2026081429,selective,50,incremental,10000
11.8217392,10.1,17.50599999999993,37.904000000000046,84589.92226795192,50.0,0,2026081430,selective,50,reference,10000
8.182459300000001,7.5,11.001,30.70700000000011,122212.64577509109,1.7257,0,2026081430,selective,50,indexed,10000
8.622618,7.801,12.005949999999928,33.50101,115974.05799491525,1.7257,0,2026081430,selective,50,incremental,10000
26.065018300000002,22.901,44.702,73.40500000000002,38365.597464399245,200.0,0,2026081401,selective,200,reference,10000
9.607939300000002,7.8,14.001,34.405000000000065,104080.59093379158,1.7257,0,2026081401,selective,200,indexed,10000
9.016719699999998,8.1,13.301,34.50500000000007,110905.07781893235,1.7257,0,2026081401,selective,200,incremental,10000
26.986469200000005,23.001,44.903,75.50600000000004,37055.60711143345,200.0,0,2026081402,selective,200,reference,10000
8.758532800000001,7.8,13.0,34.10101,114174.37404584474,1.7257,0,2026081402,selective,200,indexed,10000
9.051565100000001,8.101,13.501,32.305000000000064,110478.13156644035,1.7257,0,2026081402,selective,200,incremental,10000
25.857086699999996,23.001,41.00699999999993,72.30500000000002,38674.1171425163,200.0,0,2026081403,selective,200,reference,10000
8.585382000000001,7.701,12.601,33.102,116477.05367099564,1.7257,0,2026081403,selective,200,indexed,10000
9.538389800000001,8.1,13.001,33.904000000000046,104839.49817190318,1.7257,0,2026081403,selective,200,incremental,10000
26.3622527,22.901,42.602,72.80600000000004,37933.025351812976,200.0,0,2026081404,selective,200,reference,10000
8.7828515,7.801,13.201,32.50600000000009,113858.23840924556,1.7257,0,2026081404,selective,200,indexed,10000
9.157413799999999,8.101,14.1,35.30299000000002,109201.13711580884,1.7257,0,2026081404,selective,200,incremental,10000
26.332454099999996,22.901,43.903,76.50500000000002,37975.951508446764,200.0,0,2026081405,selective,200,reference,10000
8.7091603,7.701,13.8,32.70300000000002,114821.63211532573,1.7257,0,2026081405,selective,200,indexed,10000
9.3133552,8.2,14.301,35.50101,107372.68991952545,1.7257,0,2026081405,selective,200,incremental,10000
26.6665186,23.001,44.203,79.00600000000004,37500.20821990614,200.0,0,2026081406,selective,200,reference,10000
8.6096364,7.801,12.60005,32.603000000000016,116148.92354803742,1.7257,0,2026081406,selective,200,indexed,10000
9.153443099999999,8.1,13.70005,35.201010000000004,109248.5078101376,1.7257,0,2026081406,selective,200,incremental,10000
26.127766100000002,22.902,43.402,73.60500000000002,38273.45958979631,200.0,0,2026081407,selective,200,reference,10000
14.365499,10.0,27.001,66.7089900000001,69611.22617460068,1.7257,0,2026081407,selective,200,indexed,10000
9.0919373,8.001,14.20005,32.40300000000002,109987.56007699261,1.7257,0,2026081407,selective,200,incremental,10000
26.622920699999998,22.901,44.402,74.80500000000002,37561.61884973049,200.0,0,2026081408,selective,200,reference,10000
8.7755477,7.801,13.00005,33.301010000000005,113953.00147476835,1.7257,0,2026081408,selective,200,indexed,10000
9.1224108,8.2,13.501,35.503990000000044,109620.14558695382,1.7257,0,2026081408,selective,200,incremental,10000
26.819792299999996,23.001,46.803,79.80500000000002,37285.8965056191,200.0,0,2026081409,selective,200,reference,10000
8.8325544,7.9,13.00005,32.102,113217.53081984981,1.7257,0,2026081409,selective,200,indexed,10000
9.1592306,8.2,13.8,32.50200000000002,109179.4762760968,1.7257,0,2026081409,selective,200,incremental,10000
26.2063015,23.301,43.402,72.71000000000012,38158.761166660624,200.0,0,2026081410,selective,200,reference,10000
9.072474299999998,7.701,12.905949999999928,33.302,110223.51421816651,1.7257,0,2026081410,selective,200,indexed,10000
9.133008199999999,8.101,13.601,33.60400000000004,109492.94888402708,1.7257,0,2026081410,selective,200,incremental,10000
25.3979663,22.902,41.002,71.30500000000002,39373.23123387245,200.0,0,2026081411,selective,200,reference,10000
8.6599426,7.701,13.0,32.602,115474.20649185365,1.7257,0,2026081411,selective,200,indexed,10000
9.9079616,8.2,16.601,36.70700000000011,100928.93375767625,1.7257,0,2026081411,selective,200,incremental,10000
26.2412016,23.001,43.502,68.40499000000001,38108.011029494926,200.0,0,2026081412,selective,200,reference,10000
8.8252454,7.9,13.601,31.602,113311.29670343218,1.7257,0,2026081412,selective,200,indexed,10000
9.6034659,8.2,14.401,33.50101,104129.07281734608,1.7257,0,2026081412,selective,200,incremental,10000
25.743272,23.001,42.80794999999993,67.50599000000005,38845.10096463262,200.0,0,2026081413,selective,200,reference,10000
9.200546899999999,7.801,14.601,37.102,108689.1910740654,1.7257,0,2026081413,selective,200,indexed,10000
9.0191321,8.101,13.301,34.302010000000024,110875.41338927722,1.7257,0,2026081413,selective,200,incremental,10000
26.2481177,23.001,45.002050000000004,74.40600000000003,38097.96997367167,200.0,0,2026081414,selective,200,reference,10000
8.758220999999999,7.9,12.901,30.703990000000044,114178.43874914781,1.7257,0,2026081414,selective,200,indexed,10000
9.0379383,8.1,13.5,32.805000000000064,110644.70311774533,1.7257,0,2026081414,selective,200,incremental,10000
