seed,sid,rule_id,level
2026081401,3c80836e-3465-7586-bbb4-32cf789a5fcd,100014,10
2026081401,96dc046b-a341-622d-45f7-87b0cd10455f,100002,10
2026081401,303a2b29-4eba-ddb4-bf47-80784f6faddf,100001,10
2026081401,167a850f-0d3f-06d8-1f1c-12e9c7fa8e48,100002,10
2026081401,b95c7722-9e86-1e67-3fdc-b2607b00c70d,100003,10
2026081401,c0e00bf8-6c0c-c482-1c11-fc94e29e1f4d,100001,10
2026081402,0c91fcdb-b807-d361-a0af-e8f7d91c393f,100014,10
2026081402,3d53f074-af4c-78e4-85e4-191fe8872f38,100003,10
2026081402,8fe5e8ae-24f1-4586-1803-878b0fc44f03,100001,10
2026081402,8a397b21-159e-728b-757f-6dcb14a273f1,100014,10
2026081402,e251c521-e237-f21c-da12-42890c3e0895,100014,10
2026081402,cd3e2227-3db0-d4b7-4db8-6b2c5e6dbce5,100014,10
2026081402,0b398fa3-5d05-4b51-f538-f85b3e8d4fd2,100014,10
2026081402,1a267490-5a98-d743-ef25-bf77fdf62acf,100001,10
2026081402,156b8257-af7a-6f90-4300-53f58aa2aa1b,100003,10
2026081402,35e23ea4-7de1-54ab-2fc1-e8ec82ecbf45,100014,10
2026081402,02f003cb-d706-e3c3-a182-62977f17edf8,100002,10
2026081402,c66b54b4-dc91-86f3-8339-b32e9398e679,100014,10
2026081402,2b72eb93-cae7-e922-eed5-a9bece2efb93,100001,10
2026081402,8c5407ef-0bd7-df5a-0214-33504af8e232,100014,10
2026081402,3a841de8-747a-46ff-c46b-bcaf3e7cfd12,100014,10
2026081402,deb10bd1-0057-1a93-f23f-3205e08ed9de,100014,10
2026081402,0d7d6212-4804-bf89-2824-5ecaea9365e1,100002,10
2026081402,72b51565-b326-e3c9-564d-5fde6f085913,100014,10
2026081402,cf83fc7c-2cff-a67e-9d1a-00db92e71d21,100003,10
2026081402,bdceaf1c-043a-df71-8727-5499571ba2c4,100014,10
2026081402,4b47bc7d-279a-9681-7e6b-3720e45e5704,100003,10
2026081402,939893d7-e123-d932-5cbb-5c82a2cac456,100014,10
2026081402,066fdc7d-d718-7a27-437d-a5f90061df81,100014,10
2026081402,ca7a2ca8-632b-412a-6d89-6948f2b8de88,100014,10
2026081402,3e26e1a0-5e49-74a3-0b7d-474477e43c9e,100002,10
2026081402,dde19873-63aa-dca3-e8af-ad49fbae00c5,100002,10
2026081402,f23528d2-dbb2-f6da-72e5-1cff516e8463,100003,10
2026081402,0a7e5b10-1d85-dac9-9581-a363371a98fd,100014,10
2026081402,9fcfdffc-3815-e6ac-228f-8a001b7be067,100003,10
2026081402,c4f0e9d3-55e2-2ff8-8405-15c69b10c83a,100014,10
2026081402,09c43199-99bc-726a-91d8-864309b3b841,100014,10
2026081402,510d3470-7fcf-a6b6-9188-91e2fae35e6b,100014,10
2026081402,3bc4cebe-5ddb-5942-f407-4a73ca43ab29,100014,10
2026081402,32e2582a-5c4b-cb58-17e1-ace62fe63135,100014,10
2026081402,0d5837f3-fc16-8f84-bccf-07ba3f68dad8,100014,10
2026081402,6fae0fde-c255-d03c-75bb-66852d07f6d8,100002,10
2026081402,b1ea4630-2573-ac14-a624-f923a4ba26a1,100014,10
2026081403,24817e69-3674-21c9-1ec0-decaf3836d23,100002,10
2026081403,186d7163-c025-36ad-25c0-eea625274f70,100014,10
2026081403,1711b078-8e9d-337d-e201-4211fa51907a,100014,10
2026081403,3b5d5976-a811-7522-698b-99cf338c90a9,100003,10
2026081403,8d63e20f-bd12-c34d-37b5-12ec0bb07c8f,100003,10
2026081403,94c75fb7-18a0-46ad-a451-f11713257aad,100014,10
2026081403,020cbcb5-bdc7-3f90-ef20-938d12b26c48,100014,10
2026081403,05dd88e5-a1fb-72f1-f902-4dd41fe7be59,100014,10
2026081403,c019d8be-3fb9-2747-e606-8ac7e9c4a8d1,100002,10
2026081403,5bd5f24c-d00d-5f09-50d4-f45afb98d40b,100002,10
2026081403,84f60aef-5bbe-f906-2735-bb79f2a9f4b3,100001,10
2026081403,d64367ae-c22b-f33d-54b4-9977593cc5ff,100014,10
2026081403,668375b1-0de7-5ded-ed62-bc785d313459,100001,10
2026081403,81f2db94-10ff-164d-4a3c-be95097534e5,100014,10
