seed,P,engine,n_events,mean_us,p50_us,p95_us,p99_us,throughput_eps,mean_candidate_rules
2026081405,500,indexed,500,277.79333199999996,269.5155,533.2610499999997,681.9240199999997,3599.798428567033,1.046
2026081405,500,incremental,500,8.640884,7.5,13.320999999999982,30.20201,115728.89995977264,1.046
2026081406,50,reference,500,279.378404,274.416,548.9519999999999,728.8059999999999,3579.374732200131,50.0
2026081406,50,indexed,500,279.372416,271.616,532.7359999999998,779.3739899999999,3579.451451642241,1.02
2026081406,50,incremental,500,8.334684,7.1,13.915949999999986,34.72099999999998,119980.55355188032,1.02
2026081406,200,reference,500,308.529524,291.717,553.4620499999994,778.3910299999997,3241.180899109027,200.0
2026081406,200,indexed,500,277.03428,271.716,529.94095,666.0459999999999,3609.6615913380824,1.02
2026081406,200,incremental,500,8.508696,7.3,13.425999999999977,29.128009999999975,117526.82197131029,1.02
2026081406,500,reference,500,336.22232,328.869,640.637,928.209,2974.222532281616,500.0
2026081406,500,indexed,500,277.40970799999997,276.216,544.562,720.9840199999998,3604.7765134448723,1.02
2026081406,500,incremental,500,8.730888,7.201,16.305999999999994,34.91399999999999,114535.88684220894,1.02
2026081407,50,reference,500,279.107386,272.416,538.021,666.7560099999998,3582.8503657011784,50.0
2026081407,50,indexed,500,278.639566,272.3155,556.9770499999996,658.6150099999998,3588.865767900313,1.052
2026081407,50,incremental,500,9.084361999999999,7.3,16.505999999999997,34.33699999999997,110079.27689363327,1.052
2026081407,200,reference,500,302.584554,298.067,585.779,749.349,3304.861357860322,200.0
2026081407,200,indexed,500,282.77743,269.015,528.39505,671.0589999999999,3536.3501252557535,1.052
2026081407,200,incremental,500,8.900322000000001,7.4,13.104999999999995,30.318999999999985,112355.4855655784,1.052
2026081407,500,reference,500,338.706076,323.96799999999996,643.507,931.2530099999999,2952.412344678458,500.0
2026081407,500,indexed,500,289.90781599999997,272.966,556.4729999999997,776.0010199999997,3449.3723342733197,1.052
